Name,Common Names,Scientific Name,Family,Toxicity,Toxic Principles,Clinical Signs,URL,Image URL
"Lacy Tree Philodendron","","Philodendron selloum","Araceae","Dogs; Cats","Insoluble calcium oxalates","Oral irritation, pain and swelling of mouth, tongue and lips, excessive drooling, vomiting (not horses), difficulty swallowing","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/lacy-tree-philodendron","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/lacy-tree-r.jpg?itok=dhkeTCJQ"
"Lady-of-the-night","","Brunfelsia species","Solanaceae","Dogs; Cats","Brunfelsamidine","Tremors, seizures (for several days), diarrhea, vomiting, hypersalivation, lethargy, incoordination, coughing","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/lady-night","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/yesterday-today-tomorrow-r.jpg?itok=r7plL0Ro"
"Lantana","","Lantana camara","Verbenaceae","Dogs; Cats","Pentacyclic triterpenoids","Vomiting, diarrhea, labored breathing, weakness. Liver failure - more common in livestock.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/lantana","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/lantana-r.jpg?itok=ez6Yqoem"
"Lambkill","","Kalmia augustifolia","Ericaceae","Dogs; Cats","Grayanotoxin","Vomiting (not in horses), diarrhea, weakness, cardiac failure","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/lambkill","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/lambkill-r.jpg?itok=DmyzbhH-"
"Larkspur","","Delphinium species","Ranunculaceae","Dogs; Cats","Diterpene alkaloids","Unless there is a lack of suitable forage, horses typically do not consume toxic amounts of larkspur. The toxicity of the plant may vary depending on seasonal changes and field conditions; as the plant matures, it generally becomes less toxic. The alkaloids in the plant cause neuromuscular paralysis; clinical effects include constipation, colic, increased salivation, muscle tremors, stiffness, weakness, recumbency, and convulsions. Cardiac failure may occur, as can death from respiratory paralysis.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/larkspur","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/larkspur-1-r.jpg?itok=eQI9U5R-"
"Laurel","","Kalmia latifolia","Ericaceae","Dogs; Cats","Grayanotoxins","Vomiting (not in horses), diarrhea, weakness, cardiac failure","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/laurel","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/laurel.jpg?itok=z1LvENnJ"
"Lavender","","Lavendula angustifolia","Lamiaceae","Dogs; Cats","Linlool, linalyl acetate","Nausea, vomiting (not in horses), inappetant","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/lavender","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/lavender.jpg?itok=qgBsM7pH"
"Leatherflower","","Clematis sp.","Ranunculaceae","Dogs; Cats","Irritant glycoside (Protoanemonin)","Salivation, vomiting, diarrhea.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/leatherflower","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/clematis-r.jpg?itok=FsUkj7F5"
"Lemon","","Citrus limonia","Rutaceae","Dogs; Cats","Essential oils and psoralens","Vomiting, diarrhea, depression; potential dermatitis. Fruit is edible, skins and plant material can cause problems.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/lemon","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/lemon-r.jpg?itok=lWiL_GXt"
"Leek","","Allium ampeloprasum","Liliaceae","Dogs; Cats","N-propyl disulfide","Vomiting, breakdown of red blood cells (hemolytic anemia, Heinz body anemia), blood in urine, weakness, high heart rate, panting","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/leek","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/leek.jpg?itok=sucsgYDE"
"Lemon Grass","","Cymbopogon citratus","Poaceae","Dogs; Cats","Essential oils, cyanogenic glycosides","Dogs, cats: Stomach upset; Horses: difficulty breathing, weakness, death (rare)","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/lemon-grass","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/lemon-grass.jpg?itok=8hpvS2WM"
"Lemon Verbena","","Aloysia triphylla","Verbenaceae","Dogs; Cats","Essential oils","Stomach upset, colic. No concerns if small amounts used in cooking or as flavoring agent.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/lemon-verbena","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/aloysia_triphylla_lemon_verbena-300x200.jpg?itok=vt9aLfYp"
"Lily of the Palace","","Hippeastrum spp.","Amaryllidaceae","Dogs; Cats","Lycorine and other alkaloids","Vomiting, salvation, diarrhea; large ingestions cause convulsions, low blood pressure, tremors and cardiac arrhythmias. Bulbs are the most poisonous part.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/lily-palace","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/hippeastrum_spp_barbados_lily-300x200.jpg?itok=wHaTdB95"
"Lenten Rose","","Helleborus niger","Ranunculaceae","Dogs; Cats","Bufadienolides, glycosides, veratrin and prtoanemonin","Drooling, abdominal pain and diarrhea, colic, depression.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/lenten-rose","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/christmas-rose-r.jpg?itok=y0h96g6w"
"Lily of the Valley","","Convallaria majalis","Asparagaceae","Dogs; Cats","Cardenolides (convallarin, and others)","Vomiting, irregular heart beat, low blood pressure, disorientation, coma, seizures","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/lily-valley","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/lily-of-the-valley-r.jpg?itok=CC75lu1a"
"Lily-of-the-Valley Bush","","Pieris japonica","Ericaceae","Dogs; Cats","Grayanotoxins","Vomiting, diarrhea, depression, cardiovascular collapse, hypersalivation, weakness, coma, low blood pressure, death. Ingestion of a few leaves can cause serious problems.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/lily-valley-bush","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/pieris-1-r.jpg?itok=BdjZeDWF"
"Lobelia","","Lobelia cardinalis","Campanulaceae","Dogs; Cats","Lobeline","Depression, diarrhea, vomiting, excessive salivation, abdominal pain, heart rhythm disturbances.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/lobelia","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/lobelia-r.jpg?itok=giILMF8f"
"Lime","","Citrus aurantifolia","Rutaceae","Dogs; Cats","Essential oils and psoralens","Vomiting, diarrhea, depression; potential dermatitis. Fruit is edible, skins and plant material can cause problems.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/lime","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/lime-r.jpg?itok=tZF4fe8A"
"Lord-and-Ladies","","Arum maculatum","Araceae","Dogs; Cats","Insoluble calcium oxalates","Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, difficulty swallowing","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/lord-and-ladies","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/arum-r.jpg?itok=206UUxCJ"
"Locust","","Robinia spp.","Mimosaceae","Dogs; Cats","Toxalbumins: phasin, robin and robitin (bark, leaves and seeds)","Vomiting, depression, anorexia, weakness, difficulty breathing, diarrhea (bloody), death","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/locust","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/robinia_species_locust-300x200.jpg?itok=3o7unEjF"
"Macadamia Nut","","Macadamia integrifolia","Proteaceae","Dogs","Unknown","Dogs: depression, weakness (especially of rear limbs), vomiting, tremors.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/macadamia-nut","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/macadamia-nut-r.jpg?itok=QOK2gsnl"
"Lovage","","Levisticum officinale","Apiaceae","Dogs; Cats","Volatile oils, especially phthalide lactones.","Diuretic, increased urination","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/lovage","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/lovage.jpg?itok=H_XbVbJ4"
"Malanga","","Colocasia esculenta","Araceae","Dogs; Cats","Insoluble calcium oxalates","Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, difficulty swallowing.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/malanga","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/colocasia_esculenta_malanga-300x200.jpg?itok=AsgYoRCx"
"Madagascar Dragon Tree","","Dracaena marginata","Asparagaceae","Dogs; Cats","Saponins","Vomiting (occasionally with blood), depression, anorexia, hypersalivation, dilated pupils (cats).","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/madagascar-dragon-tree","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/madagascar-dragon-tree-r.jpg?itok=NV-GLR1c"
"Maleberry","","Lyonia sp.","Ericaceae","Dogs; Cats","Grayanotoxins","Vomiting, diarrhea, depression, cardiovascular collapse, hypersalivation, weakness, coma, low blood pressure, death. Ingestion of a few leaves can cause serious problems.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/maleberry","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/maleberry-r.jpg?itok=3Sxhjt9-"
"Mapleleaf Begonia","","Begonia cleopatra","Begoniaceae","Dogs; Cats","Soluble calcium oxalates","Kidney failure (in grazing animals), vomiting, salivation in dogs/cats. Most toxic part is underground.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/mapleleaf-begonia","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/mapleleaf-begonia.jpg?itok=5t1bmQyQ"
"Marijuana","","Cannabis sativa","Cannabaceae","Dogs; Cats","Delta-9-THC (tetrahydrocannabinol)","Prolonged depression, vomiting, incoordination, sleepiness or excitation, hypersalivaton, dilated pupils, low blood pressure, low body temperature, seizure, coma, death (rare)","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/marijuana","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/hashish_cannabis_sativa-300x200.jpg?itok=PubM1952"
"Marble Queen","","Scindapsus aureus","Araceae","Dogs; Cats","Calcium oxalate crystals","","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/marble-queen","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/marble-queen-r.jpg?itok=y8h4LcCH"
"Mauna Loa Peace Lily","","Spathiphyllum","Araceae","Dogs; Cats","Insoluble calcium oxalates","Oral irritation, pain and swelling of mouth, tongue and lips, excessive drooling, vomiting (not horses), difficulty swallowing","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/mauna-loa-peace-lily","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/peace-lily-r_0.jpg?itok=MU-bug_v"
"Marjoram","","Origanum majorana","Lamiaceae","Dogs; Cats","Gastrointestinal irritants","Vomiting and diarrhea","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/marjoram","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/marjoram.jpg?itok=DhFKuoCb"
"Mayweed","","Anthemis cotula","Asteraceae","Dogs; Cats","Volatile oil; bisabolol, chamazulene, anthemic acid, tannic acid","Contact dermatitis, vomiting, diarrhea, anorexia, allergic reactions. Long term use can lead to bleeding tendencies.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/mayweed","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/mayweed-r.jpg?itok=b59wGo46"
"Mayapple","","Podophyllum peltatum","Berberidaceae","Dogs; Cats","Podophyllin","Vomiting, diarrhea, lethargy, panting, coma (rare); dermal - redness, skin ulcers.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/mayapple","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/mayapple_podophyllum_peltatum-300x200.jpg?itok=dClr_sYz"
"Meadow Saffron","","Colchicum autumnale","Liliaceae","Dogs; Cats","colchicine and other alkaloids","oral irritation, bloody vomiting, diarrhea, shock, multi-organ damage, bone marrow suppression.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/meadow-saffron","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/autumn-crocus-r_0.jpg?itok=YChxRiUN"
"Medicine Plant","","","Aloaceae","Dogs; Cats","Anthraquinones, anthracene glycosides (aloin)","Vomiting, change in urine color (red)","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/medicine-plant","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/barbados-aloe-r_0.jpg?itok=mJQ7nj5d"
"Metallic Leaf Begonia","","Begonia metallica","Begoniaceae","Dogs; Cats","Soluble calcium oxalates","Kidney failure (in grazing animals), vomiting, salivation in dogs/cats. Most toxic part is underground.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/metallic-leaf-begonia","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/image_0.jpg?itok=NJmUDGKj"
"Mexican Breadfruit","","Monstera deliciosa","Araceae","Dogs; Cats","Insoluble calcium oxalates","Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, difficulty swallowing.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/mexican-breadfruit","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/cutleaf-philodendron-r_0.jpg?itok=Samjeskv"
"Milkweed","","Asclepias species","Asclepiadaceae","Dogs; Cats","Some species contain cardiotoxins (steroidal glycosidic cardenolides) and other species contain neurotoxins.","Vomiting, profound depression, weakness, anorexia, and diarrhea are common; may be followed by seizures, difficulty breathing, rapid, weak pulse, dilated pupils, kidney or liver failure, coma, respiratory paralysis and death","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/milkweed","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/milkweed.jpg?itok=KNGQuJYr"
"Milfoil","","Achillea millefolium","Asteraceae","Dogs; Cats","Glycoalkaloids (achillein), monoterpenes, sesquiterpene lactones","Vomiting, diarrhea, depression, anorexia, hypersalivation","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/milfoil","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/milfoil-r.jpg?itok=Pre-JcRd"
"Mistletoe """"American""""","","Phoradendron flavescens","Viscaceae","Dogs; Cats","Toxalbumin, pharatoxin viscumin (Lectins, Phoratoxins)","Vomiting, diarrhea, low blood pressure (rare), difficulty breathing, low heart rate","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/mistletoe-american","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/mistletoe-american-r.jpg?itok=DUwEqPXb"
"Mint","","Mentha sp.","Lamiaceae","Dogs; Cats","Essential Oils","Vomiting and diarrhea with large ingestions","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/mint","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/mint_facebook.jpg?itok=-kqK0k-v"
"Mole Bean Plant","","Ricinus communis","Euphobiaceae","Dogs; Cats","Ricin (highly toxic)","Access to ornamental plants or pruned foliage most common in poisonings. Ricin is a highly toxic component that inhibits protein synthesis; ingestion of as little as one ounce of seeds can be lethal. Signs typically develop 12 to 48 hours after ingestion, and include loss of appetite, excessive thirst, weakness, colic, trembling, sweating, loss of coordination, difficulty breathing, progressive central nervous system depression, and fever. As syndrome progresses, bloody diarrhea may occur, and convulsions and coma can precede death.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/mole-bean-plant","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/african-wonder-tree-1-r_0.jpg?itok=6Woh5uue"
"Mock Azalea","","Adenium obesum","Apocynaceae","Dogs; Cats","Digitalis like glycosides","Vomiting, diarrhea, anorexia, depression, irregular heart beat, death","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/mock-azalea","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/desert-azalea-r_0.jpg?itok=69YOEA5i"
"Morning-Noon-and-Night","","Brunfelsia species","Solanaceae","Dogs; Cats","Brunfelsamidine","Tremors, seizures (for several days), diarrhea, vomiting, hypersalivation, lethargy, incoordination, coughing","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/morning-noon-and-night","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/yesterday-today-tomorrow-r_0.jpg?itok=WpATQ7k4"
"Morning Glory","","Ipomoea spp","Convolvulaceae","Dogs; Cats","Indole alkaloids (Lysergic acid, lysergamide, elymoclavine and chanoclavine)","Vomiting, large amounts of seeds may cause hallucinations","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/morning-glory","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/morning-glory-2-r.jpg?itok=up4j882q"
"Mother of Millions","","Kalanchoe tubiflora","Crassulaceae","Dogs; Cats","Bufodienolides","Vomiting, diarrhea, abnormal heart rhythm (rare).","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/mother-millions","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/mother-of-millions.jpg?itok=ymMiqawt"
"Moss Rose","","Portulaca oleracea","Portulacaceae","Dogs; Cats","Soluble calcium oxalates","Kidney failure (rare in dogs/cats), tremors, salivation.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/moss-rose","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/moss-rose-r.jpg?itok=znzVwgFV"
"Mother-In-Law Plant","","Kalanchoe tubiflora","Crassulaceae","Dogs; Cats","Bufodienolides","Vomiting, diarrhea, abnormal heart rhythm (rare).","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/mother-law-plant",""
"Mother-in-Law","","Monstera deliciosa","Araceae","Dogs; Cats","Calcium oxalate crystals","Oral irritation, intense burning and irritation of the mouth, lips, tongue, excessive drooling, vomiting, difficulty in swallowing.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/mother-law","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/cutleaf-philodendron-r_1.jpg?itok=bJVDgLcy"
"Mother-in-Law’s Tongue","","Sansevieria trifasciata","Agavaceae","Dogs; Cats","Saponins","Nausea, vomiting, diarrhea.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/mother-laws-tongue",""
"Mum","","Chrysanthemum spp.","Compositae","Dogs; Cats","Sesquiterpene, lactones, pyrethrins and other potential irritants","Vomiting, diarrhea, hypersalivation, incoordination, dermatitis","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/mum","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/chrysanthemum-r.jpg?itok=2KBT7onE"
"Naked Lady","","Amaryllis spp.","Amaryllidaceae","Dogs; Cats","Lycorine and other alkaloids","Vomiting (not horses), depression, diarrhea, abdominal pain, hypersalivation, anorexia, tremors.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/naked-lady","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/naked-lady-r.jpg?itok=8V6_alez"
"Nandina","","Nandina domestica","Berberidaceae","Dogs; Cats","Cyanogenic glycosides","Weakness, incoordination, seizures, coma, respiratory failure, death (rare in pets).","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/nandina","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/nandina_domestica_nandina-300x200.jpg?itok=U1oqo29B"
"Nasturtium (Watercress)","","Nasturtium officinale","Brassicaceae","Dogs; Cats","Gastrointestinal irritants","Mild vomiting and diarrhea","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/nasturtium-watercress",""
"Narcissus","","Narcissus spp","Amaryllidaceae","Dogs; Cats","Lycorine and other alkaloids","Vomiting, salvation, diarrhea; large ingestions cause convulsions, low blood pressure, tremors and cardiac arrhythmias. Bulbs are the most poisonous part.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/narcissus","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/narcissus_narcissus_sp-300x200.jpg?itok=LAgDq5aY"
"Nephthytis","","Syngonium podophyllum","Araceae","Dogs; Cats","Insoluble calcium oxalates","Oral irritation, pain and swelling of mouth, tongue and lips, excessive drooling, vomiting (not horses), difficulty swallowing","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/nephthytis","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/arrow-head-vine-r.jpg?itok=GoEmkIO6"
"Needlepoint Ivy","","Hedera helix","Araliaceae","Dogs; Cats","Triterpenoid saponins (hederagenin)","Vomiting, abdominal pain, hypersalivation, diarrhea. Foliage is more toxic than berries","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/needlepoint-ivy","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/needlepoint-ivy-r.jpg?itok=bq2G3kI5"
"Nightshade","","Solanum spp","Solanaceae","Dogs; Cats","Solanine, saponins, atropine like substances","Hypersalivation, inappetence, severe gastrointestinal upset, diarrhea, drowsiness, CNS depression, confusion, behavioral change, weakness, dilated pupils, slow heart rate.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/nightshade","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/deadly-nightshade-r.jpg?itok=D2n28ufo"
"Nicotiana","","Nicotiana glauca","Solanaceae","Dogs; Cats","Nicotine","Hyperexcitability then depression, vomiting, incoordination, paralysis, death is possible.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/nicotiana","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/tobacco-r.jpg?itok=S_5rNe9r"
"Octopus Tree","","Schefflera or Brassia actinoplylla","Araliaceae","Dogs; Cats","Terpenoids, saponins, insoluble oxalates","Mild vomiting, diarrhea.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/octopus-tree","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/octopus-tree.jpg?itok=BDnT19Ds"
"Oilcloth Flower","","Anthurium scherzeranum","Araceae","Dogs; Cats","Insoluble calcium oxalates","Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, difficulty swallowing","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/oilcloth-flower","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/flamingo-plant-r.jpg?itok=YtLpSaN7"
"Onion","","Allium cepa","Liliaceae","Dogs; Cats","N-propyl disulfide","Vomiting, breakdown of red blood cells (hemolytic anemia, Heinz body anemia), blood in urine, weakness, high heart rate, panting","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/onion","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/onion-r.jpg?itok=twGxXF2u"
"Oleander","","Nerium oleander","Apocynaceae","Dogs; Cats","Cardiac glycosides","Drooling, abdominal pain, diarrhea, colic, depression, death","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/oleander","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/oleander-2-r.jpg?itok=iwmME_p_"
"Orange","","Citrus sinensis","Rutaceae","Dogs; Cats","Essential oils and psoralens","Vomiting, diarrhea, depression; potential dermatitis. Fruit is edible, skins and plant material can cause problems.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/orange","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/orange-r.jpg?itok=GBUV-AQk"
"Oregano","","Origanum vulgare hirtum","Lamiaceae","Dogs; Cats","Gastrointestinal irritants","Mild vomiting and diarrhea","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/oregano","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/oregano.jpg?itok=2I3EUcWn"
"Oregon Holly","","Ilex opaca","Aquifoliaceae","Dogs; Cats","saponins","Vomiting, diarrhea and depression. Leaves and berries are low toxicity.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/oregon-holly","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/ilex_opaca_oregon_holly-300x200.jpg?itok=x5Yd9uaC"
"Ornamental Pepper","","Solanum pseudocapsicum","Solanaceae","Dogs; Cats","Solanine","Gastrointestinal disturbances, possible ulceration of the gastrointestinal system, seizures, depression, respiratory depression, and shock.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/ornamental-pepper","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/jerusalem-cherry-r.jpg?itok=sF7s9elJ"
"Pacific Yew","","Taxus brevifolia","Taxaceae","Dogs; Cats","Taxine A and B, Volatile oil","Tremors, difficulty breathing, vomiting, seizures (dogs), sudden death from acute heart failure.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/pacific-yew","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/pacific-yew-r.jpg?itok=Yk9B2BZK"
"Painter's Pallette","","Anthurium scherzeranum","Araceae","Dogs; Cats","Insoluble calcium oxalates","Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, difficulty swallowing","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/painters-pallette","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/flamingo-plant-r.jpg?itok=YtLpSaN7"
"Panda Plant","","Philodendron bipennifolium","Araceae","Dogs; Cats","Insoluble calcium oxalates","Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, difficulty swallowing.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/panda-plant",""
"Palm Lily","","Cordyline australis","Agavaceae","Dogs; Cats","Saponins","Vomiting (occasionally with blood), depression, anorexia, hypersalivation, dilated pupils (cats)","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/palm-lily","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/cordyline_australis_palm_lily-300x200.jpg?itok=-NWF0jUn"
